NO,LICENCE NUMBER,NAME OF PHARMACY,TYPE,LOCATION,MMDA,REGION
1928,PC/AS/W/0182E,KINAPHARMA LIMITED,Wholesale,"H/NO. 27 BLOCK IX,  KUMASI OPPOSITE ASEDA HOUSE OTA
KUMASI",KMA,Ashanti
1929,PC/GR/R/00061,KINAPHARMA LTD,Retail,H/NO. D7 22/3 DERBY AVENUE - ACCRA,AMA,Greater Accra
1930,PC/GR/W/00023,KINAPHARMA LTD,Wholesale,"H/NO.B762/4, KIMBU AVENUE, ACCRA ACCRA",AMA,Greater Accra
1931,PC/AS/WR/00082,KINAPHARMA LTD.,Wholesale/Retail,H/NO. OTB 297 - ADUM KUMASI,KMA,Ashanti
1932,PC/WR/W/00015,KINAPHARMA LTD.,Wholesale,H/NO. 42/8 LIBERATION ROAD  TAKORADI,SEKONDI-TAKORADI,Western
1933,PC/NR/W/00004,KINAPHARMA LTD.,Wholesale,H/NO. 14 - SOUTH LAMASHEGU TAMALE,TAMALE,Northern
1937,PC/ER/W/0104P,KINDNESS PHARMACY LTD,Wholesale,"H/NO. G/CA NO. 10 YIRENKYIWAA ROAD AYENBRONU
SUHUM",SUHUM,Eastern
1938,PC/AS/R/00133,KINGS & ROYALS PHARM. LTD.,Retail,H/NO. 206 B - BONTODIASE AGOGO,ASANTE AKIM CENTRAL,Ashanti
1939,PC/AS/R/00254,KINGS & ROYALS PHARMACY LTD.,Retail,H/NO. BLOCK H 32 - KENT KRONO-NSENIE KUMASI,KMA,Ashanti
1940,PC/GR/W/0039C,KINGS DOMINION PHARMACY,Wholesale,"STORE NO. AB 02/356, KANESHIE MAIN ROAD ODORKOR
ACCRA",AMA,Greater Accra
1941,PC/GR/W/00264,KINGSLEY CHEMISTS LTD.,Wholesale,H/NO. G 107/1 JUBILEE WELLS STREET - LA,LEDZOKUKU-KROWOR,Greater Accra
1942,PC/WR/R/00037,KINGSMED PHARMACY,Retail,"H/NO.  C.S.6, WEST ANAGI ESTATE TAKORADI",SEKONDI-TAKORADI,Western
1943,PC/GR/R/0207L,KINGSTREET PHARMACY LIMITED,Retail,H/NO. 4 - TSUI BLEOO TESHIE,LEDZOKUKU-KROWOR,Greater Accra
1944,PC/GR/WR/0404L,KINGSTREET PHARMACY LTD,Wholesale/Retail,H/NO. 232 - ABUCHI ANYA BUS STOP TESHIE,LEDZOKUKU-KROWOR,Greater Accra
1945,PC/CR/R/0098L,KINGSWAY PHARMACY LTD,Retail,PLOT 219 JUKWA ROAD ESSUAKYIR CAPE COAST,CAPE COAST,Central
1946,PC/CR/R/0099L,KINGSWAY PHARMACY LTD,Retail,H/NO. 37-38 STARLET 91 ROAD SIWDU CAPE COAST,CAPE COAST,Central
1947,PC/CR/WR/0624H,KINGSWAY PHARMACY LTD.,Wholesale/Retail,"H/NO. D11/2, JACKSON STR, - CAPE COAST",CAPE COAST,Central
1948,PC/AS/W/0376K,KISAL PHARMACY,Wholesale,"STORE NO. 13/14 OPPOSITE CHILDRENS HOSPITAL, KEJETIA
KUMASI",KMA,Ashanti
1949,PC/BA/R/0059G,KISAL PHARMACY LTD.,Retail,"H/NO. A 47/9, ODUMASE HIGH STR,  ODUMASE",SUNYANI,Brong Ahafo
1950,PC/GR/R/0194C,KLAD PHARMACY LTD,Retail,"PLOT 66 KINGDOM HALL ROAD AFIAMAN NORTH
AMASAMAN",GA WEST,Greater Accra
1951,PC/GR/R/0088D,KLAD PHARMACY LTD.,Retail,"H/NO. 76, 4TH JUNCTION-OKAIMAN POKUASE MAYERA",GA WEST,Greater Accra
1952,PC/GR/WR/0128G,KLAY PHARMACY LTD.,Wholesale/Retail,"H/NO. OF 24, ATTA MILLS JXN, ASOFAN ROAD ASOFA AVENUE
OFANKOR",GA WEST,Greater Accra
1953,PC/CR/R/0122K,KLEENMED PHARMACY,Retail,H/NO. 69 ASANTE ROAD NEAR SAVOY HOTEL CAPE COAST,CAPE COAST,Central
1954,PC/AS/R/0584L,KLINICAL KORNER PHARMACY,Retail,PLOT NR 70 - - ATWIMA KOFORIDUA,ATWIMA NWABIAGYA,Ashanti
1955,PC/CR/WR/0099K,KLINS PHARMACY,Wholesale/Retail,H/NO. D. 94B NANA BAAH VII STREET NANKESIDO SALTPOND,MFANTSEMAN,Central
1956,PC/CR/R/0075P,KLINS PHARMACY LTD,Retail,H/NO. 22A PROF. ALLOTEY STREET NKWANTANAN SALTPOND,MFANTSEMAN,Central
1957,PC/GR/R/0401K,KN PHARMACY LTD,Retail,5205950 ADENTA-DODOWA HIGHWAY - AMRAHIA,ADENTAN,Greater Accra
1958,PC/CR/R/0203N,KO'S PHARMACY LTD,Retail,STORE 2 & 3 - COLUMBA KASOA,AWUTU SENYA EAST,Central
1959,PC/GR/W/0119F,KOBAFCO PHARMACY LTD.,Wholesale,"H/NO. 30, KWABENYA-A-LINE AFROMOSIA STR. - KWABENYA",GA EAST,Greater Accra
1960,PC/GR/R/0074G,KOBEC PHARMACY,Retail,"STORE NO. 1, ADJEN KOTOKU STREET,  ADJEN KOTOKU",GA WEST,Greater Accra
1961,PC/AS/WR/0006D,KOBI MEMORIAL PHARMACY,Wholesale/Retail,"PLOT NO. 36, BLOCK 11, MILE 4 OLD TAFO KUMASI",KMA,Ashanti
1962,PC/WR/WR/0083K,KOBINKO PHARMACY,Wholesale/Retail,"H/NO. AK 45 METHODIST MISSION TARKWA WASSA
AKROPONG",WASSA EAST,Western
1963,PC/AS/WR/0150N,KOBJOE PHARMACY LTD,Wholesale/Retail,"PLOT 9, BLOCK C - - BOADI",KMA,Ashanti
1964,PC/VR/WR/0026J,KODEB PHARMACY LTD,Wholesale/Retail,H/NO. G43 NEW MARKET ROAD GAKLI AFLAO,KETU SOUTH,Volta
1965,PC/GR/W/00171,KOF-SAM PHARMACY,Wholesale,H/NO. D 667/4 - OKAISHIE ACCRA,AMA,Greater Accra
1966,PC/AS/W/0191K,KOFAG HEALTHCARE LTD,Wholesale,"H/NO. EE 51, KWADASO ESTATE, KUMASI  KWADASO ESTATE -
KUMASI",KMA,Ashanti
1967,PC/ER/R/0097P,KOFCITY PHARMACY,Retail,H/NO. 37 E. M. DEBRAH STREET TETEBEA EFFIDUASE,NEW-JUABENG,Eastern
1968,PC/WR/WR/0209K,KOFI PHARMA LTD,Wholesale/Retail,H/NO. C 30 - - SEFWI ASAWINSO,SEFWI WIAWSO,Western
1969,PC/GR/W/00253,KOFIKROM PHARMACY LTD,Wholesale,"PLOT. NO. RP/13/E1 STORE NO. OS/03809 OSIABOUR PLAZA -
ACCRA",TMA,Greater Accra
1970,PC/ER/WR/0177N,KOFIKROM PHARMACY LTD,Wholesale/Retail,"H/NO. BB 41 BONTIRASE STREET OPPOSITE DURBAR
GROUNDS BEGORO",FANTEAKWAH,Eastern
1971,PC/GR/W/0218E,KOFIKROM PHARMACY LTD.,Wholesale,"H/NO. F 740/3,  - - LA",LA DEDE-KOTOPON,Greater Accra
1972,PC/GR/WR/0048N,KOFIKROM PHARMCY LTD,Wholesale/Retail,OPPOSITE MELCOM FIRST OTWE STREET - SOUTH LA ESTATES,LA DEDE-KOTOPON,Greater Accra
1973,PC/ER/WR/0110B,KOGBECO PHARMACY,Wholesale/Retail,"H/NO. 59 ACCRA-KUMASI ROAD DISTRICT COURT JUNCTION
ANYINAM",ATIWA,Eastern
1974,PC/GR/R/0616L,KOHINTA PHARMACY LIMITED,Retail,GS-0816-5596 MAIN STREET - KOKROBITE,GA SOUTH,Greater Accra
1975,PC/AS/WR/00005,KOJACH LIMITED,Wholesale/Retail,503 FULLER ROAD CENTRAL MARKET STREET KUMASI KUMASI,KMA,Ashanti
1976,PC/GR/WR/00009,KOJACH LIMITED,Wholesale/Retail,H/N D747/4 KIMBERLY AVENUE OKAISHIE ACCRA,AMA,Greater Accra
1977,PC/WR/R/00043,KOJOKROM PHARMACY,Retail,"H/NO. 2 NEW MARKET, NEAR POLICE STATION KOJOKROM",SHAMA,Western
1978,PC/AS/R/0135N,KOKAB PHARMACY LTD,Retail,SANKOFA 5 - OSEI TUTU HOUSING ESTATE AYIGYA,BEKWAI,Ashanti
1979,PC/UER/R/0249N,KOMBAT PHARMACY LTD,Retail,H/NO. KP 16 MANGA ROAD NEAR AUDIT AERVICE BAWKU,BAWKU,Upper East
1980,PC/GR/R/0012J,KORANIA PHARMACY LIMITED,Retail,H/NO. 4 KLANAA AVENUE - ADENTA,ADENTAN,Greater Accra
1981,PC/GR/W/00204,KORLYNS PHARMACEUTICALS LTD,Wholesale,"H/NO. EA/10, NEAR JACOT HOTEL - ADENTA",ADENTAN,Greater Accra
1982,PC/GR/R/0438K,KOSAK PHARMACY LTD.,Retail,H/NO. D6665/4 CANAVON AVENUE OKAISHIE ACCRA,AMA,Greater Accra
1983,PC/GR/IW/0019F,KOSAK PHARMACY LTD.,Importing Wholes,"Hle/NO. 16, NAA PLAZA KNUSTFORD AVENUE OKAISHIE ACCRA",AMA,Greater Accra
1984,PC/WR/WR/0086C,KRASPECT PHARMACY,Wholesale/Retail,"H/NO. PA/3,  KWASIMINTSIM TAKORADI",SEKONDI-TAKORADI,Western
1985,PC/WR/R/0334J,KRASPECT PHARMACY,Retail,"H/NO. 293 E. AKUFO-ADDO STREET KANSAWO ROAD
TAKORADI",SEKONDI-TAKORADI,Western
1986,PC/ER/R/0379H,KRENSEN PHARMACY LIMITED,Retail,"EE-0003-7111 KIBI-JUASO ROAD NEAR GOVERNMENT
HOSPITAL KYEBI",EAST AKIM,Eastern
1987,PC/GR/R/00968,KREST PHARMACY LTD.,Retail,PLOT NO. 1820 KOTOBABI JUNCTION LASHIBI ACCRA,TMA,Greater Accra
1988,PC/GR/R/0034G,KRINSHAN PHARMACY,Retail,"H/NO. A 204/7, OLD DANSOMAN ROAD, - DANSOMAN",AMA,Greater Accra
1989,PC/GR/W/00013,KRIPA PHARMA LIMITED,Wholesale,H/NO. 804/6 AGBANI STREET KOKOMLEMLE ACCRA,AMA,Greater Accra
1990,PC/GR/WR/00084,KRISDOF PHARMACY,Wholesale/Retail,H/NO. B292/2 SABON ZONGO SABON ZONGO ACCRA,AMA,Greater Accra
1991,PC/CR/WR/0158H,KRISTOPHARMA LTD,Wholesale/Retail,"H/NO. FBR/119 OBENG NUAKO STREET DUNKWA SORO
DUNKWA-ON-OFFIN",UPPER DENKYIRA-EAST,Central
1992,PC/GR/R/0539K,KRISVYC PHARMACY,Retail,PLOT 43 BREKUSU ROAD - KWABENYA,GA EAST,Greater Accra
1993,PC/GR/R/00065,KROBEA PHARMACY,Retail,H/NO. B775/23 - LAPAZ ABEKA ACCRA,AMA,Greater Accra
1994,PC/AS/R/0106N,KUBAID PHARMACY LTD,Retail,PLOT KT 25 - ZONGO AKOMADAN,OFFINSO NORTH,Ashanti
1995,PC/GR/R/0173C,KUDOS PHARMACY LTD,Retail,PLOT NO. C-75 - KANAWU TEMA,TMA,Greater Accra
1996,PC/UER/WR/0024C,KUMO PHARMACY,Wholesale/Retail,"H/NO. E153, BAWKU-VRA ROAD SOUTH NATINGA BAWKU",BAWKU,Upper East
1997,PC/UWR/WR/0170G,KUMO PHARMACY LTD.,Wholesale/Retail,"UNN STORE OLD DISTRICT ASSEMBLY STREET ADJACENT
VODAFONE CONTAINER TUMU",WA,Upper West
1998,PC/AS/R/0133M,KUNSU PHARMACY,Retail,H/NO. KD 96 - OPPOSITE MAIN MARKET KUNSU,AHAFO-ANO SOUTH,Ashanti
1999,PC/GR/WR/0270,KUSHA PHARMACY,Wholesale/Retail,H/NO. B292/13 ONUFU GBOTSUI STREET RUSSIA ACCRA,AMA,Greater Accra
2000,PC/BA/WR/00013,KWAAPONS PHARMACY,Wholesale/Retail,BLK B PLOT 3A MARKET SQUARE CENTRAL MOSQUE ATEBUBU,ATEBUBU-AMANTIM,Brong Ahafo
2001,PC/AS/R/0038D,KWABEC PHARMACY,Retail,"PLOT 1A MOWIRE ROAD, - KODIE",AFIGYA-KWABRE,Ashanti
2002,PC/GR/R/00861,KWACH PHARMACY LTD,Retail,BAATSONAA GOIL null SPINTEX ROAD ACCRA,TMA,Greater Accra
2003,PC/AS/WR/0356K,KWACHARCO PHARMACY LTD,Wholesale/Retail,PLOT 43 KUMASI HIGHWAY BEPOSO TEPA,AHAFO-ANO NORTH,Ashanti
2004,PC/GR/R/00677,KWADY CHEMIST,Retail,H/NO. HO 5 84 COMMUNITY 12 ROAD TMA TEMA,TMA,Greater Accra
2005,PC/AS/R/0142N,KWAINT ESSENCE PHARMACY,Retail,"PLOT 20, BLOCK L LODGE ROAD - BOADI",KMA,Ashanti
2006,PC/ER/WR/00048,KWAMPAW PHARMACY LTD.,Wholesale/Retail,"H/NO. OSA 36 ACCRA-KUMASI ROAD OPPOSITE MTN
TRANSOL SHOP OSINO",FANTEAKWAH,Eastern
2007,PC/GR/WR/00086,KWARITAN (GH) LTD,Wholesale/Retail,H/NO 763/4 KIMBERLEY AVENUE OKAISHIE ACCRA,AMA,Greater Accra
2008,PC/GR/R/0034M,KWICKPHARMA LTD,Retail,H/NO. 16 FM STREET NACO FASHIONS TEMA,TMA,Greater Accra
2009,PC/VR/WR/0126C,KYDES PHARMACEUTICALS LTD.,Wholesale/Retail,"H/NO. T06-B-008, - DZODZE DZODZE",KETU NORTH,Volta
2010,PC/NR/WR/0110F,KYENGBE PHARMACY,Wholesale/Retail,"H/NO. BDA 76, BOLE JUNCTION, MINPE ASEM, - BOLE-
BAMBOI BOLE-BAMBOI",BOLE-BAMBOI,Northern
2011,PC/GR/R/00319,L. C. L. PHARMACY,Retail,THOKEY HS. SEGICO FLATS - COMMUNITY 4 TEMA,TMA,Greater Accra
2012,PC/GR/WR/0044N,LA VELCHI PHARMACY,Wholesale/Retail,GW-0633-1866 - - OSHUMAN ESTATES,GA WEST,Greater Accra
2013,PC/GR/R/0062M,LABING PHARMACY LTD,Retail,UNN PLOT - - KUBEKROM,KPONE KATAMANSO,Greater Accra
2014,PC/GR/R/0130D,LAMAIR PHARMACY LTD.,Retail,H/NO. 465 TABORA MAIN ROAD - TABORA NO. 3,GA SOUTH,Greater Accra
2015,PC/NR/R/0266P,LAMPHARM PHARMACY LTD,Retail,H/NO C 102 - NEAR FAITH COMMUNITY HOSPITAL PATUDA,BUNKPURUGU-YONYOO,Northern
2016,PC/AS/WR/00042,LANSAH CHEMISTS LTD.,Wholesale/Retail,NO. K.O. 8-9 - NEW TOWN KUMASI,KMA,Ashanti
2017,PC/AS/WR/00043,LAPETITE  CHEMISTS LTD.,Wholesale/Retail,BLOCK 8 - AHODWO KUMASI,KMA,Ashanti
2018,PC/GR/W/00142,LARRY & LARRY PHARMACY,Wholesale,"PRESBY JUNCTION, - ASHAIMAN",ASHIAMAN,Greater Accra
2019,PC/GR/R/00560,LASHIBI CHEMIST LTD.,Retail,"COMMUNITY 18 ROUND ABOUT, LASHIBI",TMA,Greater Accra
2020,PC/AS/WR/0184K,LASPA PHARMACY LIMITES,Wholesale/Retail,"PLOT 3, BLOCK 13, SANTASI ANYINAM",KMA,Ashanti
2021,PC/AS/WR/0500L,LASPA PHARMACY LTD,Wholesale/Retail,AK-006-0890 SAT BUILDING MANHYIA KUMASI,KMA,Ashanti
2022,PC/GR/R/0644L,LASYD PHARMACY LTD,Retail,"H/NO. 6/A NEAR ICGC CALVARY TEMPLE COMMUNITY 18
SPINTEX",TMA,Greater Accra
2023,PC/AS/WR/0362K,LAUGH PHARMACY,Wholesale/Retail,H/NO. 272 - VIDEO CITY NEW TOWN,MAMPONG,Ashanti
2024,PC/GR/R/00920,LAUSKI PHARMACY,Retail,"H/NO. DL 269/27 DANSOMAN HIGH STREET KOFI NE AMA
ACCRA",AMA,Greater Accra
2025,PC/GR/W/0034J,LAWBEN PHARMACEUTICALS LIM,TWEDholesale,"H/NO. D6665/4 CANEVON AVENUE, ADJACENT UMB BANK
OKAISHIE ACCRA",AMA,Greater Accra
2026,PC/GR/R/00790,LAWMERC PHARMACY LTD.,Retail,H/NO E-11 1ST STREET SSNIT FLATS ADENTA,ADENTAN,Greater Accra
2027,PC/GR/WR/0659L,LB PHARMACY,Wholesale/Retail,H/NO. V153 QUINCY STREET - MALLAM,GA SOUTH,Greater Accra
2028,PC/ER/WR/0500L,LBX PHARMACY LTD,Wholesale/Retail,EG-272-3019 NSUMIA ROAD - ANKWA DOBORO,NSAWAM ADOAGYIRI,Eastern
2029,PC/GR/R/00068,LEBEN PHARMACY,Retail,BOYE STREET - OTINSHIE ADENTA,ADENTAN,Greater Accra
2030,PC/AS/R/00030,LEETENG PHARMACY LTD.,Retail,"H/NO. 16, BLOCK 9 - AMAKOM KUMASI",KMA,Ashanti
2031,PC/GR/W/0223N,LEETONIA PHARMACY,Wholesale,GM-008-5124 EDMONTON STREET SOCIAL WELFARE MADINA,LA NKWANTANANG-MADINA,Greater Accra
2032,PC/GR/R/0153K,LEETONIA PHARMACY,Retail,H/NO. 499/26 ABOTSI STREET EAST LEGON ASHALEY BOTWE,ADENTAN,Greater Accra
2033,PC/AS/W/0503L,LEGACY HEALTH SERVICES LIMITE,Wholesale,"PLOT 15, SECTION 4 BOAKYE DANKWA STREET - ASOKORE
MAMPONG",KMA,Ashanti
2034,PC/AS/R/0175N,LEGAN PHARMACY LTD,Retail,"PLOT 33, BLOCK 33 AD-232-0767 GHANA BAR MEDUMA",KWABERE EAST,Ashanti
2035,PC/GR/WR/00229,LEMISH PHARMACY,Wholesale/Retail,H/NO.B181/14 OUTER LINK ROAD NEW ABOSSEY OKAI ACCRA,AMA,Greater Accra
2037,PC/ER/R/0499L,LEMJIREH PHARMACY LTD,Retail,H/NO. N43 EFFIDUASE HIGHWAYS KOFORIDUA,NEW-JUABENG,Eastern
2038,PC/AS/R/0496K,LEMON PHARMACY,Retail,"PLOT 59, BLOCK D, KOTWI NKORANSA",ATWIMA KWANWOMA,Ashanti
2039,PC/GR/R/0366L,LENA PHARMACY,Retail,H/NO. A5 NEAR ENGEN SERVICE STATION TULAKU ASHAIMAN,ASHIAMAN,Greater Accra
2040,PC/VR/R/0176J,LENA PHARMACY,Retail,H/NO 43 STADIUM STREET AHOE HO,HO,Volta
2041,PC/GR/R/0367L,LENA PHARMACY LIMITED,Retail,H/NO. 3 PIG FARM ROAD COMMUNITY 21 ANNEX TEMA,TMA,Greater Accra
2042,PC/GR/R/0369L,LENA PHARMACY LIMITED,Retail,H/NO. KP 64 GBETSELE ROAD CASH OIL ASHAIMAN,ASHIAMAN,Greater Accra
2043,PC/GR/R/0180L,LENARLES PHARMACY LTD,Retail,GC-048-5635 CP ROAD SCHOOL JUNCTION ABLEKUMA,GA CENTRAL,Greater Accra
2044,PC/GR/R/0319P,LENUS PHARMA LTD,Retail,GM-001-3825 NIKOI ATSEN AVENUE - MADINA,ADENTAN,Greater Accra
2045,PC/GR/R/0604H,LENUS PHARMA LTD,Retail,"HNO. 3RD GATE RD, SAMANKPONU, ASHALLEY BOTWE",ADENTAN,Greater Accra
2046,PC/GR/R/0305J,LEONS CHEMIST LTD,Retail,H/NO. 25 OFF ACCRA-NSAWAM ROAD GADEST POKUASE,GA WEST,Greater Accra
2047,PC/GR/R/00069,LEONS CHEMISTS LTD.,Retail,H/NO.C98/3 FAANOFA ROAD ADABRAKA ACCRA,AMA,Greater Accra
2048,PC/GR/WR/0412K,LESDY PHARMACY LIMITED,Wholesale/Retail,H/NO. C20/1 ADAMA ROAD ADABRAKA ACCRA,AMA,Greater Accra
2049,PC/GR/R/00070,LESSON PHARMACY,Retail,H/NO. 114/2 - NIMA HIGHWAY ACCRA,AMA,Greater Accra
2050,PC/GR/R/0225J,LESTON PHARMACY,Retail,"H/NO 24 AMANKANI AVENUE ADENTA HOUSING DOWN
ADENTA",ADENTAN,Greater Accra
2051,PC/GR/MW/00002,LETAP PHARMACEUTICALS,Manufacturing W,oPlLeOsTa l1e07 GRAPHIC ROAD - AACRA,AMA,Greater Accra
2052,PC/GR/W/00162,LEVON PHARMACY,Wholesale,OPPOSITE HFC KWAME NKRUMAH AVENUE OKAISHIE ACCRA,AMA,Greater Accra
2054,PC/GR/R/00182,LEXBETA PHARMACY LTD.,Retail,H/NO. M242/1 I.P.S.  ROAD RAWLINGS CIRCLE ACCRA,ADENTAN,Greater Accra
2055,PC/AS/WR/0452K,LEXES PHARMACY LTD,Wholesale/Retail,"H/NO. B1, AHINSAN ESTATE",KMA,Ashanti
2056,PC/GR/R/0053B,LEXLEY PHARMACY LTD.,Retail,H/O. ANT ZA/015A - NEWTOWM ASHIAMAN,ASHIAMAN,Greater Accra
2057,PC/GR/R/00143,LIB PHARMACY,Retail,"H/NO. 102 DZENN AYOO STREET NEAR IKE QUARTEY NEW
GBAWE",GA SOUTH,Greater Accra
2059,PC/BA/WR/00043,LIBAWS CHEMISTS LTD.,Wholesale/Retail,H/NO. 12 - DOMINASE BEREKUM,BEREKUM,Brong Ahafo
2060,PC/VR/WR/00016,LIBERTY PHARMACY LTD.,Wholesale/Retail,H/NO. D 21 DOME DELA CATHEDRAL STREET KPODZI HO,HO,Volta
2061,PC/ER/R/0337K,LIBIAMBO PHARMACY,Retail,"H/NO. B 191 & A1 MARKET STREET NEAR TOTAL SERVICE
STATION AKYEM ODA",BIRIM CENTRAL,Eastern
2062,PC/GR/W/0034L,LIBOAT PHARMACEUTICALS LTD,Wholesale,PLOT 076A - ST. JOHN'S ATOMIC DOWN KWABENYA,GA EAST,Greater Accra
2063,PC/NR/R/0465L,LIFE ALERT PHARMACY,Retail,H/NO. TIN 046 BOLE-WENCHI ROAD NYAME ASEM TINGA,BOLE-BAMBOI,Northern
2064,PC/GR/R/0391L,LIFE CHEMIST,Retail,"H/NO. 22 OBUOBI GONNO STREET NEAR ABEKA PENTECOST
ABEKA",AMA,Greater Accra
2065,PC/AS/R/0043C,LIFE CHEMIST (BUOKROM BRANC,R)etail,"PLOT 4, BLOCK 23, BUOKROM OLD TOWN STREET BUOKROM
BUOKROM",KMA,Ashanti
2066,PC/AS/WR/0237M,LIFE CHEMIST LIMITED,Wholesale/Retail,"PLOT 8, BLOCK A MAIN STREET OLD TOWN DUASE",KMA,Ashanti
2067,PC/GR/R/0258J,LIFE CHEMIST LTD,Retail,H/NO. 10 KORLEGON STREET DARKUMAN DARKUMAN,AMA,Greater Accra
2068,PC/AS/R/0138A,LIFE CHEMIST LTD.,Retail,H/NO. B.F. 15 - KENYASE KUMASI,KMA,Ashanti
2069,PC/AS/R/0132J,LIFE CHEMIST LTD.,Retail,"PLOT 4, BLOCK 6 MAIN STREET - APRADE",KMA,Ashanti
2070,PC/AS/R/0009E,LIFE CHEMISTS LTD (DOTE BRANC,R)etail,H/NO 48 DOTE MAIN STREET DOTE,KMA,Ashanti
2071,PC/AS/R/00203,LIFE CHEMISTS LTD.,Retail,H/NO. BLOCK. N - DICHEMSO KUMASI,KMA,Ashanti
2072,PC/GR/R/00371,LIFE DOOR PHARMACY LTD.,Retail,H/NO. 1-7TH CLOSE - DANSOMAN ACCRA,AMA,Greater Accra
2073,PC/AS/WR/0497L,LIFE DREAM PHARMACY LTD,Wholesale/Retail,"PLOT 3, BLOCK A - KENKAASE KENYASE ADWUMAN",KWABERE EAST,Ashanti
2074,PC/AS/R/00229,LIFE FIRST CHEMIST,Retail,"PLOT 138, BLOCK R - AIRPORT ROUNDABOUT KUMASI",KMA,Ashanti
2075,PC/AS/R/00296,LIFE GEM COMPANY (PHARM DIV,)Retail,"PLOT. 41, BLOCK BX - DEDUAKO KODIEKROM KUMASI",KMA,Ashanti
2076,PC/GR/R/0102H,LIFE HEALTHCARE PHARMACY,Retail,"H/NO. SHOP NO. 5, ACHIMOTA RETAIL CENTER  ACHIMOTA
ACCRA",AMA,Greater Accra
2077,PC/GR/R/0354P,LIFE MATTER,Retail,GG-539-2840 - ASOFAN AMOMOLEY,GA WEST,Greater Accra
2078,PC/UWR/WR/00004,LIFE-LINK PHARMACY,Wholesale/Retail,"H/NO. JA-JR 006, JIRAPA MAIN STREET, JIRAPA JIRAPA",JIRAPA,Upper West
2079,PC/GR/R/00930,LIFECARE PHARMACY,Retail,"H/NO. SHOP NO. 3 SHOPPING CEN. STREET KAS VALLEY
ESTATES OYIBI",ADENTAN,Greater Accra
2080,PC/GR/R/0042D,LIFEDOOR PHARMACY LTD,Retail,"PLOT NO. 5 AVIATION HIGHWAY HYDROFOAM ESTATE
SPINTEX ROAD",TMA,Greater Accra
2081,PC/GR/R/00919,LIFELANE CHEMISTS,Retail,"H/NO. 060, MAIN STREET, ADJ. HEALTH CENTRE, DANFO
ACCRA",GA EAST,Greater Accra
2082,PC/GR/R/0100G,LIFEPOINT PHARMACY,Retail,"UNN. OSIKANI BUILDING, ADJ. CENTRAL MOSQUE, -
ASHONGMAN ESTATE",GA EAST,Greater Accra
2083,PC/GR/R/0049L,LIFEPOINT PHARMACY  LTD,Retail,H/NO. AK 134/8 TEIMAN-ABOKOBI STREET - OBIBINI,GA EAST,Greater Accra
2084,PC/GR/W/0037J,LIFESCIENCES PHARMA LIMITED,Wholesale,H/NO. 165 NEAR TERRY BUILDING COMMUNITY 25 DAWENYA,TMA,Greater Accra
2085,PC/GR/R/0314P,LIFESPAN PHARMACY LTD,Retail,H/NO. 123 ZIBRA ROAD - POKUASE,GA WEST,Greater Accra
2086,PC/GR/WR/00089,LIFETIME PHARMACY,Wholesale/Retail,"H.NO. D 769/3 TUNISIA HOUSE KWAME NKRUMA AVENUE
ACCRA",AMA,Greater Accra
2087,PC/GR/R/0206J,LIFEWAY PHARMACY LIMITED,Retail,UNN NEW SITE POBIKORPE OSOFO MAAME AREA POBIKORPE,GA WEST,Greater Accra
2088,PC/GR/R/00925,LIGHT PHARMA LTD.,Retail,STORE NO. 1 NEW TOWN - ABLEKUMA,GA SOUTH,Greater Accra
2090,PC/GR/R/0402L,LIGHT PHARMACY LTD,Retail,H/NO. GCA 0365 MARKET STREET - GALELIA KASOA,GA SOUTH,Greater Accra
2091,PC/BA/WR/0029B,LIGHTWAY CHEMISTS LTD.,Wholesale/Retail,H/NO. Q12/2 - WANGARA LINE TECHIMAN,TECHIMAN,Brong Ahafo
2092,PC/VR/R/0239P,LIKEM PHARMACY,Retail,H/NO. WNI-J/050 HOSPITAL-ZONGO ROAD - WORAWORA,BIAKOYE,Volta
2093,PC/VR/R/0009G,LIKEM PHARMACY LTD.,Retail,"HNO. TO1-L582 ALABATO JUNCTION LORRY STATION SAKI-
NORTH",HOHOE,Volta
2094,PC/GR/R/0340L,LIM PHARMA LIMITED,Retail,"- OPPOSITE MUNICIPAL ASEEMBLY ANKRA KOOKO ABBEY
MADINA-ZONGO",ADENTAN,Greater Accra
2095,PC/ER/WR/0594K,LIM PHARMA LTD,Wholesale/Retail,H/NO. 61 ATTAFUA STREET - AKIM ODA,BIRIM CENTRAL,Eastern
2096,PC/GR/R/0332P,LIMONE PHARMACY LTD,Retail,"GZ-180-7510 TEBIBIANO STREET NEAR COMPASS FILLING
STATION TESHIE",LA NKWANTANANG-MADINA,Greater Accra
2097,PC/AS/R/0117N,LIMOX CHEMIST LTD,Retail,"H/NO. NK 5, KOKOTE",OFFINSO,Ashanti
2098,PC/GR/R/0492L,LINA CARE PHARMACY,Retail,H/NO. 32/1 OBLOGO ROAD - ABOSSEY OKAI,AMA,Greater Accra
2099,PC/GR/W/0437P,LINK 12 PHARMACY,Wholesale,GT-354-0095 COMMUNITY 18 ROAD BAATSONA LASHIBI,TMA,Greater Accra
2100,PC/GR/R/00293,LINK PHARMACEUTICALS LTD.,Retail,81 ESTATES ROAD DANSOMAN ACCRA,AMA,Greater Accra
2101,PC/AS/WR/0070A,LISSONS HEALTH SERVICES LTD.,Wholesale/Retail,"PLOT 18, BAREKESE ROAD, ATAFOWA ATAFOWA",OBUASI,Ashanti
